hero_1_id,hero_1_name,type,hero_2_id,hero_2_name,match_count,win_count,win_rate,advantage
1,Anti-Mage,vs,94,Medusa,2827345,1388589,0.4911,0.11508
1,Anti-Mage,vs,17,Storm Spirit,2827345,1388589,0.4911,0.04096
1,Anti-Mage,vs,34,Tinker,2827345,1388589,0.4911,0.04083
1,Anti-Mage,vs,112,Winter Wyvern,2827345,1388589,0.4911,0.03837
1,Anti-Mage,vs,15,Razor,2827345,1388589,0.4911,0.03505
1,Anti-Mage,vs,99,Bristleback,2827345,1388589,0.4911,0.03367
1,Anti-Mage,vs,45,Pugna,2827345,1388589,0.4911,0.03196
1,Anti-Mage,vs,131,Ringmaster,2827345,1388589,0.4911,0.03108
1,Anti-Mage,vs,42,Wraith King,2827345,1388589,0.4911,0.03039
1,Anti-Mage,vs,84,Ogre Magi,2827345,1388589,0.4911,0.03023
1,Anti-Mage,vs,12,Phantom Lancer,2827345,1388589,0.4911,0.02832
1,Anti-Mage,vs,78,Brewmaster,2827345,1388589,0.4911,0.02603
1,Anti-Mage,vs,111,Oracle,2827345,1388589,0.4911,0.02592
1,Anti-Mage,vs,29,Tidehunter,2827345,1388589,0.4911,0.02485
1,Anti-Mage,vs,102,Abaddon,2827345,1388589,0.4911,0.02474
1,Anti-Mage,vs,76,Outworld Destroyer,2827345,1388589,0.4911,0.02252
1,Anti-Mage,vs,20,Vengeful Spirit,2827345,1388589,0.4911,0.0207
1,Anti-Mage,vs,50,Dazzle,2827345,1388589,0.4911,0.02056
1,Anti-Mage,vs,53,Nature's Prophet,2827345,1388589,0.4911,0.02041
1,Anti-Mage,vs,31,Lich,2827345,1388589,0.4911,0.02033
1,Anti-Mage,vs,129,Mars,2827345,1388589,0.4911,0.01965
1,Anti-Mage,vs,51,Clockwerk,2827345,1388589,0.4911,0.01814
1,Anti-Mage,vs,113,Arc Warden,2827345,1388589,0.4911,0.01746
1,Anti-Mage,vs,40,Venomancer,2827345,1388589,0.4911,0.01703
1,Anti-Mage,vs,81,Chaos Knight,2827345,1388589,0.4911,0.01615
1,Anti-Mage,vs,92,Visage,2827345,1388589,0.4911,0.01573
1,Anti-Mage,vs,47,Viper,2827345,1388589,0.4911,0.01525
1,Anti-Mage,vs,3,Bane,2827345,1388589,0.4911,0.01513
1,Anti-Mage,vs,101,Skywrath Mage,2827345,1388589,0.4911,0.01352
1,Anti-Mage,vs,67,Spectre,2827345,1388589,0.4911,0.01261
1,Anti-Mage,vs,56,Clinkz,2827345,1388589,0.4911,0.01225
1,Anti-Mage,vs,8,Juggernaut,2827345,1388589,0.4911,0.01185
1,Anti-Mage,vs,22,Zeus,2827345,1388589,0.4911,0.01135
1,Anti-Mage,vs,43,Death Prophet,2827345,1388589,0.4911,0.01097
1,Anti-Mage,vs,54,Lifestealer,2827345,1388589,0.4911,0.01093
1,Anti-Mage,vs,68,Ancient Apparition,2827345,1388589,0.4911,0.01075
1,Anti-Mage,vs,126,Void Spirit,2827345,1388589,0.4911,0.01058
1,Anti-Mage,vs,77,Lycan,2827345,1388589,0.4911,0.01033
1,Anti-Mage,vs,85,Undying,2827345,1388589,0.4911,0.0102
1,Anti-Mage,vs,90,Keeper of the Light,2827345,1388589,0.4911,0.00958
1,Anti-Mage,vs,79,Shadow Demon,2827345,1388589,0.4911,0.0092
1,Anti-Mage,vs,39,Queen of Pain,2827345,1388589,0.4911,0.00914
1,Anti-Mage,vs,73,Alchemist,2827345,1388589,0.4911,0.00899
1,Anti-Mage,vs,63,Weaver,2827345,1388589,0.4911,0.00877
1,Anti-Mage,vs,138,Muerta,2827345,1388589,0.4911,0.00861
1,Anti-Mage,vs,41,Faceless Void,2827345,1388589,0.4911,0.00845
1,Anti-Mage,vs,37,Warlock,2827345,1388589,0.4911,0.00671
1,Anti-Mage,vs,16,Sand King,2827345,1388589,0.4911,0.00653
1,Anti-Mage,vs,137,Primal Beast,2827345,1388589,0.4911,0.00631
1,Anti-Mage,vs,69,Doom,2827345,1388589,0.4911,0.00546
1,Anti-Mage,vs,135,Dawnbreaker,2827345,1388589,0.4911,0.00498
1,Anti-Mage,vs,14,Pudge,2827345,1388589,0.4911,0.00416
1,Anti-Mage,vs,5,Crystal Maiden,2827345,1388589,0.4911,0.00375
1,Anti-Mage,vs,66,Chen,2827345,1388589,0.4911,0.00361
1,Anti-Mage,vs,75,Silencer,2827345,1388589,0.4911,0.0035
1,Anti-Mage,vs,121,Grimstroke,2827345,1388589,0.4911,0.00342
1,Anti-Mage,vs,86,Rubick,2827345,1388589,0.4911,0.00309
1,Anti-Mage,vs,21,Windranger,2827345,1388589,0.4911,0.00298
