hero_1_id,hero_1_name,type,hero_2_id,hero_2_name,advantage,safelane_matches,safelane_wins,safelane_winrate,midlane_matches,midlane_wins,midlane_winrate,offlane_matches,offlane_wins,offlane_winrate,soft_support_matches,soft_support_wins,soft_support_winrate,hard_support_matches,hard_support_wins,hard_support_winrate
1,Anti-Mage,vs,94,Medusa,0.11398,117000,63176,0.54,7807,4320,0.5533,3891,2064,0.5305,845,390,0.4615,1238,597,0.4822
1,Anti-Mage,vs,81,Chaos Knight,0.03932,117000,63176,0.54,7807,4320,0.5533,3891,2064,0.5305,845,390,0.4615,1238,597,0.4822
1,Anti-Mage,vs,111,Oracle,0.0391,117000,63176,0.54,7807,4320,0.5533,3891,2064,0.5305,845,390,0.4615,1238,597,0.4822
1,Anti-Mage,vs,15,Razor,0.03602,117000,63176,0.54,7807,4320,0.5533,3891,2064,0.5305,845,390,0.4615,1238,597,0.4822
1,Anti-Mage,vs,102,Abaddon,0.03323,117000,63176,0.54,7807,4320,0.5533,3891,2064,0.5305,845,390,0.4615,1238,597,0.4822
1,Anti-Mage,vs,51,Clockwerk,0.03309,117000,63176,0.54,7807,4320,0.5533,3891,2064,0.5305,845,390,0.4615,1238,597,0.4822
1,Anti-Mage,vs,99,Bristleback,0.0311,117000,63176,0.54,7807,4320,0.5533,3891,2064,0.5305,845,390,0.4615,1238,597,0.4822
1,Anti-Mage,vs,84,Ogre Magi,0.0303,117000,63176,0.54,7807,4320,0.5533,3891,2064,0.5305,845,390,0.4615,1238,597,0.4822
1,Anti-Mage,vs,17,Storm Spirit,0.02989,117000,63176,0.54,7807,4320,0.5533,3891,2064,0.5305,845,390,0.4615,1238,597,0.4822
1,Anti-Mage,vs,34,Tinker,0.02964,117000,63176,0.54,7807,4320,0.5533,3891,2064,0.5305,845,390,0.4615,1238,597,0.4822
1,Anti-Mage,vs,42,Wraith King,0.02944,117000,63176,0.54,7807,4320,0.5533,3891,2064,0.5305,845,390,0.4615,1238,597,0.4822
1,Anti-Mage,vs,56,Clinkz,0.02843,117000,63176,0.54,7807,4320,0.5533,3891,2064,0.5305,845,390,0.4615,1238,597,0.4822
1,Anti-Mage,vs,78,Brewmaster,0.02316,117000,63176,0.54,7807,4320,0.5533,3891,2064,0.5305,845,390,0.4615,1238,597,0.4822
1,Anti-Mage,vs,129,Mars,0.02177,117000,63176,0.54,7807,4320,0.5533,3891,2064,0.5305,845,390,0.4615,1238,597,0.4822
